;Radio;Tel.;Quot.N;Quot.R;P.Mag;P.TV
Agriculteur;96;118;2;71;50;17
Petit patron;122;136;11;76;49;41
Prof. Cad. S.;193;184;74;63;103;79
Prof. Interm;360;365;63;145;141;184
Employé;511;593;57;217;172;306
Ouvrier qual;385;457;42;174;104;220
Ouvrier n-q;156;185;8;69;42;85
Inactif;1474;1931;181;852;642;782
Homme;1630;1900;285;854;621;776
Femme;1667;2069;152;815;683;938
Primaire;908;1307;73;642;360;435
Secondaire;869;1008;107;408;336;494
Techn.prof.;901;1035;80;140;311;504
Superieur;619;612;177;209;298;281
15-24 ans;660;713;69;216;234;360
25-34 ans;640;719;84;230;212;380
35-49 ans;888;1000;130;429;345;466
50-64 ans;617;774;84;391;262;263
65 ans ou +;491;761;70;402;251;245
